"ID","Player","Team","Position","Owner","Next Opponent","TFPts","TFP/G","Rostered %","+/- %","Date","Opponent","Score","Fantasy Points","Minutes Played","Goals","Assists (Official)","Assists (Second)","Key Passes (Assists on Shots)","Assists (Fantasy)","Shots on Target","Shots off the Post","Tackles Won","Dispossessed","Yellow Cards","Red Cards","Accurate Crosses","Accurate Crosses (No Corners)","Interceptions","Interceptions + Blocked Shots","Effective Clearances","Successful Dribbles (Contests Succeeded)","Blocked Crosses","Blocked Shots","Aerials Won","Penalty Kicks Missed","Penalty Kicks Drawn","Own Goals","Goals Against Outfielders ","Clean Sheets On Field"
"05gcr","Bruno Fernandes","MUN","M,F","Skyler","WOL Tue 1:15PM","319.75","18.81","99%","0%","Aug 30","BUR","W 3-2","29.5","90","1","0","0","6","0","1","0","1","2","1","0","3","2","0","0","4","0","0","0","2","0","0","0","2","0"
"05gcr","Bruno Fernandes","MUN","M,F","Skyler","WOL Tue 1:15PM","319.75","18.81","99%","0%","Aug 24","FUL","T 1-1","7","90","0","0","0","1","0","1","0","1","1","0","0","1","0","0","1","2","2","0","1","1","1","0","0","1","0"
"05gcr","Bruno Fernandes","MUN","M,F","Skyler","WOL Tue 1:15PM","319.75","18.81","99%","0%","Aug 17","ARS","L 0-1","14.5","90","0","0","0","5","0","0","0","0","1","0","0","1","1","0","0","2","1","0","0","2","0","0","0","1","0"
"04agz","Declan Rice","ARS","M","ZDM","AVL Tue 1:15PM","311","17.28","100%","0%","Dec 27","BHA","W 2-1","19","90","0","0","0","1","1","0","0","0","0","0","0","2","2","3","3","2","0","0","0","0","0","0","0","1","0"
"04agz","Declan Rice","ARS","M","ZDM","AVL Tue 1:15PM","311","17.28","100%","0%","Dec 20","EVE","W 1-0","24.5","90","0","0","0","2","1","0","0","2","1","0","0","0","0","3","3","4","0","0","0","3","0","0","0","0","1"
"04agz","Declan Rice","ARS","M","ZDM","AVL Tue 1:15PM","311","17.28","100%","0%","Dec 13","WOL","W 2-1","6.5","90","0","0","0","1","0","1","0","0","1","0","0","1","0","0","0","2","1","0","0","1","0","0","0","1","0"
"04agz","Declan Rice","ARS","M","ZDM","AVL Tue 1:15PM","311","17.28","100%","0%","Dec 6","AVL","L 1-2","23.75","90","0","0","0","2","0","1","0","2","1","0","0","3","2","2","4","5","0","0","2","2","0","0","0","2","0"
"04agz","Declan Rice","ARS","M","ZDM","AVL Tue 1:15PM","311","17.28","100%","0%","Dec 3","BRF","W 2-0","13.25","82","0","0","0","3","0","1","0","0","0","0","0","1","1","0","0","1","0","0","0","1","0","0","0","0","1"
"04agz","Declan Rice","ARS","M","ZDM","AVL Tue 1:15PM","311","17.28","100%","0%","Nov 30","CHE","T 1-1","9","90","0","0","0","1","0","0","0","0","0","0","0","1","1","1","2","4","0","1","1","0","0","0","0","1","0"
"04agz","Declan Rice","ARS","M","ZDM","AVL Tue 1:15PM","311","17.28","100%","0%","Nov 23","TOT","W 4-1","21.25","90","0","1","0","3","0","1","0","2","0","1","0","2","1","0","0","3","0","0","0","2","0","0","0","1","0"
"04agz","Declan Rice","ARS","M","ZDM","AVL Tue 1:15PM","311","17.28","100%","0%","Nov 8","SUN","T 2-2","8.5","90","0","0","0","1","0","1","0","0","1","0","0","1","1","1","1","4","0","0","0","1","0","0","0","2","0"
"04agz","Declan Rice","ARS","M","ZDM","AVL Tue 1:15PM","311","17.28","100%","0%","Nov 1","BUR","W 2-0","40.5","90","1","0","1","1","0","1","0","5","0","0","0","2","0","3","3","4","1","0","0","3","0","0","0","0","1"
"04agz","Declan Rice","ARS","M","ZDM","AVL Tue 1:15PM","311","17.28","100%","0%","Oct 26","CRY","W 1-0","30.25","81","0","0","0","3","1","1","0","3","1","0","0","2","1","2","2","1","0","0","0","2","0","0","0","0","1"
"04agz","Declan Rice","ARS","M","ZDM","AVL Tue 1:15PM","311","17.28","100%","0%","Oct 18","FUL","W 1-0","10","90","0","0","0","1","0","0","0","0","3","0","0","0","0","0","1","2","1","0","1","4","0","0","0","0","1"
"04agz","Declan Rice","ARS","M","ZDM","AVL Tue 1:15PM","311","17.28","100%","0%","Oct 4","WHU","W 2-0","24","78","1","0","0","3","0","1","0","0","1","0","0","1","1","0","0","2","2","0","0","0","0","0","0","0","1"
"04agz","Declan Rice","ARS","M","ZDM","AVL Tue 1:15PM","311","17.28","100%","0%","Sep 28","NEW","W 2-1","26.75","90","0","1","0","3","0","0","0","1","0","0","0","3","3","0","1","3","1","0","1","3","0","0","0","1","0"
"04agz","Declan Rice","ARS","M","ZDM","AVL Tue 1:15PM","311","17.28","100%","0%","Sep 21","MCI","T 1-1","10.25","90","0","0","0","2","0","0","0","1","0","0","0","2","2","0","0","1","0","0","0","1","0","0","0","1","0"
"04agz","Declan Rice","ARS","M","ZDM","AVL Tue 1:15PM","311","17.28","100%","0%","Sep 13","NOT","W 3-0","1","21","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"04agz","Declan Rice","ARS","M","ZDM","AVL Tue 1:15PM","311","17.28","100%","0%","Aug 31","LIV","L 0-1","12.5","90","0","0","0","1","0","0","0","0","1","0","0","2","0","3","4","2","1","0","1","0","0","0","0","1","0"
"04agz","Declan Rice","ARS","M","ZDM","AVL Tue 1:15PM","311","17.28","100%","0%","Aug 23","LEE","W 5-0","20","90","0","1","0","3","0","0","0","0","0","0","0","3","1","0","0","0","1","0","0","0","0","0","0","0","1"
"04agz","Declan Rice","ARS","M","ZDM","AVL Tue 1:15PM","311","17.28","100%","0%","Aug 17","MUN","W 1-0","11","82","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1"
"068y0","Antoine Semenyo","BOU","M,F","Hopeless","@CHE Tue 12:30PM","292","17.18","100%","0%","Dec 27","BRF","L 1-4","22.5","90","1","0","0","1","0","4","0","1","2","0","0","0","0","0","0","3","3","0","0","2","0","0","0","4","0"
"068y0","Antoine Semenyo","BOU","M,F","Hopeless","@CHE Tue 12:30PM","292","17.18","100%","0%","Dec 20","BUR","T 1-1","19","90","1","0","0","3","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0"
"068y0","Antoine Semenyo","BOU","M,F","Hopeless","@CHE Tue 12:30PM","292","17.18","100%","0%","Dec 15","MUN","T 4-4","18.5","90","1","0","0","2","0","1","0","0","1","1","0","0","0","0","0","3","1","0","0","6","0","0","0","4","0"
"068y0","Antoine Semenyo","BOU","M,F","Hopeless","@CHE Tue 12:30PM","292","17.18","100%","0%","Dec 6","CHE","T 0-0","21.5","90","0","0","0","3","0","3","0","2","1","0","0","0","0","2","2","1","0","0","0","3","0","0","0","0","1"
"068y0","Antoine Semenyo","BOU","M,F","Hopeless","@CHE Tue 12:30PM","292","17.18","100%","0%","Dec 2","EVE","L 0-1","12","90","0","0","0","0","0","2","0","3","1","0","0","0","0","0","0","3","2","1","0","2","0","0","0","1","0"
"068y0","Antoine Semenyo","BOU","M,F","Hopeless","@CHE Tue 12:30PM","292","17.18","100%","0%","Nov 29","SUN","L 2-3","11.5","90","0","0","0","4","0","0","0","1","2","1","0","2","2","0","0","0","0","1","0","2","0","0","0","3","0"
"068y0","Antoine Semenyo","BOU","M,F","Hopeless","@CHE Tue 12:30PM","292","17.18","100%","0%","Nov 9","AVL","L 0-4","1.5","90","0","0","0","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","0","2","1","0","0","4","0"
"068y0","Antoine Semenyo","BOU","M,F","Hopeless","@CHE Tue 12:30PM","292","17.18","100%","0%","Nov 2","MCI","L 1-3","7","90","0","0","0","0","0","2","0","0","1","0","0","1","1","0","0","0","1","0","0","2","0","0","0","3","0"
"068y0","Antoine Semenyo","BOU","M,F","Hopeless","@CHE Tue 12:30PM","292","17.18","100%","0%","Oct 26","NOT","W 2-0","8","88","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","2","1","0","1","0","0","0","0","1"
"068y0","Antoine Semenyo","BOU","M,F","Hopeless","@CHE Tue 12:30PM","292","17.18","100%","0%","Oct 18","CRY","T 3-3","14","90","0","0","0","0","1","1","0","0","4","1","0","0","0","0","1","0","3","0","1","5","0","0","0","3","0"
"068y0","Antoine Semenyo","BOU","M,F","Hopeless","@CHE Tue 12:30PM","292","17.18","100%","0%","Oct 3","FUL","W 3-1","37","90","2","1","0","1","0","3","0","1","2","0","0","0","0","0","0","1","1","0","0","1","0","0","0","1","0"
"068y0","Antoine Semenyo","BOU","M,F","Hopeless","@CHE Tue 12:30PM","292","17.18","100%","0%","Sep 27","LEE","T 2-2","20.5","90","1","0","0","1","0","1","0","1","2","0","0","0","0","0","1","0","3","0","1","2","0","0","0","2","0"
"068y0","Antoine Semenyo","BOU","M,F","Hopeless","@CHE Tue 12:30PM","292","17.18","100%","0%","Sep 21","NEW","T 0-0","7","90","0","0","0","1","0","0","0","2","2","0","0","0","0","0","0","1","2","0","0","1","0","0","0","0","1"
"068y0","Antoine Semenyo","BOU","M,F","Hopeless","@CHE Tue 12:30PM","292","17.18","100%","0%","Sep 13","BHA","W 2-1","34","90","1","1","0","2","0","1","0","3","0","0","0","0","0","0","0","3","3","0","0","4","0","0","0","1","0"
"068y0","Antoine Semenyo","BOU","M,F","Hopeless","@CHE Tue 12:30PM","292","17.18","100%","0%","Aug 30","TOT","W 1-0","10","90","0","0","0","2","0","1","0","1","3","1","0","0","0","0","0","0","4","0","0","2","0","0","0","0","1"
"068y0","Antoine Semenyo","BOU","M,F","Hopeless","@CHE Tue 12:30PM","292","17.18","100%","0%","Aug 23","WOL","W 1-0","17","90","0","1","0","3","0","1","1","0","4","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1"
"068y0","Antoine Semenyo","BOU","M,F","Hopeless","@CHE Tue 12:30PM","292","17.18","100%","0%","Aug 15","LIV","L 2-4","31","90","2","0","0","0","0","2","0","1","1","0","0","0","0","1","1","0","1","0","0","5","0","0","0","4","0"
"04y92","Bukayo Saka","ARS","M,F","Ellis","AVL Tue 1:15PM","284.5","17.78","100%","0%","Dec 27","BHA","W 2-1","28","90","0","1","0","4","0","2","0","1","0","0","0","2","1","1","1","0","3","0","0","0","0","0","0","1","0"
"04y92","Bukayo Saka","ARS","M,F","Ellis","AVL Tue 1:15PM","284.5","17.78","100%","0%","Dec 20","EVE","W 1-0","14.5","90","0","0","0","1","0","1","0","1","0","0","0","1","1","0","0","0","4","0","0","1","0","0","0","0","1"
"04y92","Bukayo Saka","ARS","M,F","Ellis","AVL Tue 1:15PM","284.5","17.78","100%","0%","Dec 13","WOL","W 2-1","36.5","90","0","0","0","3","2","0","0","0","0","0","0","5","5","0","0","0","4","0","0","3","0","0","0","1","0"
"04y92","Bukayo Saka","ARS","M,F","Ellis","AVL Tue 1:15PM","284.5","17.78","100%","0%","Dec 6","AVL","L 1-2","20","78","0","0","0","4","1","2","0","1","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0"
"04y92","Bukayo Saka","ARS","M,F","Ellis","AVL Tue 1:15PM","284.5","17.78","100%","0%","Dec 3","BRF","W 2-0","15","28","1","0","0","0","0","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"04y92","Bukayo Saka","ARS","M,F","Ellis","AVL Tue 1:15PM","284.5","17.78","100%","0%","Nov 30","CHE","T 1-1","19","90","0","1","0","2","0","1","0","0","1","0","0","2","2","0","0","0","2","0","0","1","0","0","0","1","0"
"04y92","Bukayo Saka","ARS","M,F","Ellis","AVL Tue 1:15PM","284.5","17.78","100%","0%","Nov 23","TOT","W 4-1","12.25","90","0","0","0","2","0","2","0","0","1","0","0","1","0","2","2","1","0","0","0","0","0","0","0","1","0"
"04y92","Bukayo Saka","ARS","M,F","Ellis","AVL Tue 1:15PM","284.5","17.78","100%","0%","Nov 8","SUN","T 2-2","24.5","90","1","0","0","2","0","2","0","1","2","0","0","2","1","0","0","2","1","1","0","2","0","0","0","2","0"
"04y92","Bukayo Saka","ARS","M,F","Ellis","AVL Tue 1:15PM","284.5","17.78","100%","0%","Nov 1","BUR","W 2-0","10","90","0","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"04y92","Bukayo Saka","ARS","M,F","Ellis","AVL Tue 1:15PM","284.5","17.78","100%","0%","Oct 26","CRY","W 1-0","6.5","65","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","1","0","2","0","0","0","0","1"
"04y92","Bukayo Saka","ARS","M,F","Ellis","AVL Tue 1:15PM","284.5","17.78","100%","0%","Oct 18","FUL","W 1-0","31.75","90","0","0","1","6","0","1","0","1","4","0","0","3","2","0","0","1","6","0","0","1","0","0","0","0","1"
"04y92","Bukayo Saka","ARS","M,F","Ellis","AVL Tue 1:15PM","284.5","17.78","100%","0%","Oct 4","WHU","W 2-0","20.5","90","1","0","0","2","0","1","0","0","1","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","1"
"04y92","Bukayo Saka","ARS","M,F","Ellis","AVL Tue 1:15PM","284.5","17.78","100%","0%","Sep 28","NEW","W 2-1","6","69","0","0","0","0","0","1","0","0","1","0","0","2","0","0","0","0","3","0","0","0","0","0","0","1","0"
"04y92","Bukayo Saka","ARS","M,F","Ellis","AVL Tue 1:15PM","284.5","17.78","100%","0%","Sep 21","MCI","T 1-1","10","45","0","0","0","2","0","0","0","0","0","0","0","2","1","0","0","0","3","0","0","0","0","0","0","0","0"
"04y92","Bukayo Saka","ARS","M,F","Ellis","AVL Tue 1:15PM","284.5","17.78","100%","0%","Aug 23","LEE","W 5-0","20","52","1","0","0","2","0","1","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0"
"04y92","Bukayo Saka","ARS","M,F","Ellis","AVL Tue 1:15PM","284.5","17.78","100%","0%","Aug 17","MUN","W 1-0","10","90","0","0","0","1","0","0","0","2","2","0","0","1","0","0","0","0","3","0","0","0","0","0","0","0","1"
"063e7","Marcos Senesi","BOU","D","Hopeless","@CHE Tue 12:30PM","275.75","16.22","90%","0%","Dec 27","BRF","L 1-4","9.5","90","0","0","0","0","0","1","0","0","2","0","0","0","0","1","4","6","0","0","3","1","0","0","0","4","0"
"063e7","Marcos Senesi","BOU","D","Hopeless","@CHE Tue 12:30PM","275.75","16.22","90%","0%","Dec 20","BUR","T 1-1","24.5","90","0","0","0","3","0","0","0","3","0","0","0","1","1","0","2","12","0","1","2","6","0","0","0","1","0"
"063e7","Marcos Senesi","BOU","D","Hopeless","@CHE Tue 12:30PM","275.75","16.22","90%","0%","Dec 15","MUN","T 4-4","19.75","90","0","0","0","1","0","1","0","2","1","1","0","0","0","2","6","9","0","0","4","3","0","0","0","4","0"
"063e7","Marcos Senesi","BOU","D","Hopeless","@CHE Tue 12:30PM","275.75","16.22","90%","0%","Dec 6","CHE","T 0-0","22","61","0","0","0","2","0","0","0","0","1","0","0","0","0","3","4","6","0","0","1","3","0","0","0","0","1"
"063e7","Marcos Senesi","BOU","D","Hopeless","@CHE Tue 12:30PM","275.75","16.22","90%","0%","Nov 29","SUN","L 2-3","17.5","90","0","0","0","3","0","0","0","3","0","1","0","1","1","3","4","7","0","0","1","1","0","0","0","3","0"
"063e7","Marcos Senesi","BOU","D","Hopeless","@CHE Tue 12:30PM","275.75","16.22","90%","0%","Nov 22","WHU","T 2-2","18.25","90","0","1","0","3","0","0","0","1","0","1","0","2","2","0","0","3","0","0","0","2","0","0","0","2","0"
"063e7","Marcos Senesi","BOU","D","Hopeless","@CHE Tue 12:30PM","275.75","16.22","90%","0%","Nov 9","AVL","L 0-4","5.75","90","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","13","0","0","0","3","0","0","0","4","0"
"063e7","Marcos Senesi","BOU","D","Hopeless","@CHE Tue 12:30PM","275.75","16.22","90%","0%","Nov 2","MCI","L 1-3","8.25","90","0","0","0","1","0","0","0","0","1","0","0","0","0","1","3","9","0","0","2","0","0","0","0","3","0"
"063e7","Marcos Senesi","BOU","D","Hopeless","@CHE Tue 12:30PM","275.75","16.22","90%","0%","Oct 26","NOT","W 2-0","11.75","90","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","3","0","0","2","3","0","0","0","0","1"
"063e7","Marcos Senesi","BOU","D","Hopeless","@CHE Tue 12:30PM","275.75","16.22","90%","0%","Oct 18","CRY","T 3-3","18.75","90","0","0","0","0","0","1","0","2","1","1","0","0","0","4","7","11","0","1","3","4","0","0","0","3","0"
"063e7","Marcos Senesi","BOU","D","Hopeless","@CHE Tue 12:30PM","275.75","16.22","90%","0%","Oct 3","FUL","W 3-1","5.75","77","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","0","0","2","1","0","0","0","1","0"
"063e7","Marcos Senesi","BOU","D","Hopeless","@CHE Tue 12:30PM","275.75","16.22","90%","0%","Sep 27","LEE","T 2-2","29.25","90","0","1","0","1","0","0","0","2","1","0","0","1","1","3","5","7","0","0","2","5","0","0","0","2","0"
"063e7","Marcos Senesi","BOU","D","Hopeless","@CHE Tue 12:30PM","275.75","16.22","90%","0%","Sep 21","NEW","T 0-0","19","90","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","8","0","0","0","3","0","0","0","0","1"
"063e7","Marcos Senesi","BOU","D","Hopeless","@CHE Tue 12:30PM","275.75","16.22","90%","0%","Sep 13","BHA","W 2-1","12.75","90","0","0","0","0","0","0","0","2","1","1","0","1","1","0","2","7","1","0","2","4","0","0","0","1","0"
"063e7","Marcos Senesi","BOU","D","Hopeless","@CHE Tue 12:30PM","275.75","16.22","90%","0%","Aug 30","TOT","W 1-0","29","90","0","1","0","1","0","0","0","2","0","0","0","0","0","4","4","8","0","0","0","1","0","0","0","0","1"
"063e7","Marcos Senesi","BOU","D","Hopeless","@CHE Tue 12:30PM","275.75","16.22","90%","0%","Aug 23","WOL","W 1-0","15.25","90","0","0","0","0","0","0","0","1","0","0","0","0","0","2","2","11","0","0","0","1","0","0","0","0","1"
"063e7","Marcos Senesi","BOU","D","Hopeless","@CHE Tue 12:30PM","275.75","16.22","90%","0%","Aug 15","LIV","L 2-4","10.75","90","0","0","0","1","0","0","0","2","0","0","0","1","1","1","1","11","0","0","0","1","0","0","0","4","0"
"0427d","James Tarkowski","EVE","D","Ellis","@NOT Tue 12:30PM","271.25","15.07","99%","+1%","Dec 27","BUR","T 0-0","18.25","90","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","9","0","0","1","2","0","0","0","0","1"
"0427d","James Tarkowski","EVE","D","Ellis","@NOT Tue 12:30PM","271.25","15.07","99%","+1%","Dec 20","ARS","L 0-1","11.75","90","0","0","0","1","0","0","0","0","0","1","0","1","1","1","2","5","0","0","1","5","0","0","0","1","0"
"0427d","James Tarkowski","EVE","D","Ellis","@NOT Tue 12:30PM","271.25","15.07","99%","+1%","Dec 13","CHE","L 0-2","3.25","90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","1","1","0","0","0","2","0"
